 id  |    day     | customer_id | campaign_id | campaign  | campaign_state | campaign_serving_status | clicks | start_date |  end_date  |  budget  | budget_explicitly_shared | label_ids | labels | invalid_clicks | conversions | conv_rate |   ctr   | cost | impressions | search_lost_is | avg_position | interaction_rate | interactions 
-----+------------+-------------+-------------+-----------+----------------+-------------------------+--------+------------+------------+----------+--------------------------+-----------+--------+----------------+-------------+-----------+---------+------+-------------+----------------+--------------+------------------+--------------
   1 | 2016-11-01 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     10 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           1 |         4 |      40 |   14 |    54200000 |             69 |         2.92 |              1.9 |           14
   2 | 2016-11-02 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     10 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |        10 |     100 |   11 |    49790000 |             95 |         6.98 |              1.6 |           11
   3 | 2016-11-03 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     10 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           1 |        25 | 1277.78 |    7 |    55190000 |            135 |        10.88 |              1.7 |            7
   4 | 2016-11-04 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      8 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         6 |      75 |    6 |    51210000 |            127 |         8.56 |              1.8 |            6
   5 | 2016-11-05 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      8 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         7 |    87.5 |    4 |    51380000 |            181 |         3.97 |              1.9 |            4
   6 | 2016-11-06 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     10 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         3 |      30 |   12 |    51030000 |             86 |         3.31 |              1.6 |           12
   7 | 2016-11-07 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     12 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         2 |   16.67 |   10 |    71580000 |            122 |          4.2 |              1.7 |           10
   8 | 2016-11-08 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     10 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         1 |      10 |   16 |    46120000 |             62 |         2.33 |                2 |           16
   9 | 2016-11-09 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      8 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         5 |    62.5 |   10 |    52760000 |             82 |         5.26 |              1.7 |           10
  10 | 2016-11-10 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      6 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         4 |   66.67 |    9 |    42540000 |             65 |         7.62 |              1.6 |            9
  11 | 2016-11-11 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      7 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           1 |         0 |       0 |    6 |    40700000 |            114 |        11.34 |              1.8 |            6
  12 | 2016-11-12 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      9 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         2 |   22.22 |    5 |    45990000 |            187 |         5.62 |              1.9 |            5
  13 | 2016-11-13 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      9 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         6 |   66.67 |    6 |    50390000 |            150 |          8.1 |              1.7 |            6
  14 | 2016-11-14 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      8 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         3 |    37.5 |    8 |    46020000 |             99 |         3.77 |              1.8 |            8
  15 | 2016-11-15 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      6 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         3 |      50 |   10 |    39590000 |             60 |         6.62 |              2.1 |           10
  16 | 2016-11-16 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      6 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         0 |       0 |    6 |    36510000 |            102 |         6.52 |              1.9 |            6
  17 | 2016-11-17 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     11 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         4 |   36.36 |    9 |    57660000 |            118 |         2.65 |              1.8 |            9
  18 | 2016-11-18 | 12345678    | 987654      | Used Cars | enabled        | ended                   |     10 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         8 |      80 |    5 |    53020000 |            188 |         9.24 |              1.9 |            5
  19 | 2016-11-19 | 12345678    | 987654      | Used Cars | enabled        | ended                   |      8 | 2016-09-16 | 2016-12-16 | 50000000 | f                        |  --       |  --    |      929943534 |           0 |         2 |      25 |    7 |    54490000 |            122 |          3.7 |              1.7 |            7
